content,published_at,likes,replies,relevance_score,relevance_score_confidence
Nobody talks about what third country allowed their airspace to be used for refuelling!,2025-09-15 19:52:27.838000+00:00,0,0,5,0.94
Qatar responsible for every T attack in last 20 years.,2025-09-15 19:52:27.838000+00:00,0,0,3,0.64
The US should offer re-homeing to every Palestinian in Gaza.,2025-09-15 19:52:30.636000+00:00,1,2,2,0.78
The Bush Doctrine has become the Netanyahu Doctrine,2025-09-15 19:52:30.636000+00:00,0,0,4,0.72
Again it was a boycott not a blockade get your facts straight,2025-09-15 19:52:30.636000+00:00,0,0,2,0.6
Israel wants genocide. Nothing more nothing less. They want all Palestinians gone.,2025-09-15 19:52:30.636000+00:00,0,1,2,0.88
"I fail to see what benefit Hamas leaders bring to Qatar, for Qatar to take the risk to mediate.",2025-09-15 19:52:30.636000+00:00,0,1,5,0.93
It’s hard to take this individual seriously after he made the anti-Semitic video about the Jewish lobby,2025-09-15 19:52:30.636000+00:00,0,0,2,0.88
"This video is all conspiracy theory madness. Nothing seems to be corroborated, but instead stated as fact.",2025-09-15 19:52:30.636000+00:00,0,0,4,0.86
Europeans kicked out Jews for centuries.,2025-09-15 19:52:30.636000+00:00,0,0,1,0.9
This was coordinated with the US.,2025-09-15 19:52:30.636000+00:00,0,0,5,0.94
Israel is a criminal state,2025-09-15 19:52:30.636000+00:00,0,0,3,0.86
play Machiavellian games win Machiavellian prizes.,2025-09-15 19:52:30.636000+00:00,0,0,3,0.63
Qatar hiding Hamas leaders is the cause.  Israel and U.S. can bomb Hamas in any country is wants.,2025-09-15 19:52:30.636000+00:00,0,0,4,0.92
"We’re back to early 1900s, I guess",2025-09-15 19:52:30.636000+00:00,0,0,3,0.48
Maybe author will read this in a pile of 2k comments. Qatar is one of the largest terrorist supporters globally. It's open policy made it a perfect breeding ground for high-ranking terrorists across the globe. It won't stop Israel in killing all of HAMAS though.,2025-09-15 19:52:30.636000+00:00,0,0,4,0.86
"Israel can attack a sovereign country without consequences, China go ahead and take ur disputed land",2025-09-15 19:52:30.636000+00:00,1,0,4,0.82
I doubt Hamas leaders were thinking to release the hostages before their own life got threaten. Maybe the strike has disrupted a discussion about about how and when releasing the last hostages… but maybe also it gave the hamas leader a reason to free the surviving hostages. Maybe it gave them a reason to stop the war.,2025-09-15 19:52:30.636000+00:00,0,1,4,0.78
So US invites Hamas to ceasefire negotiation in Qatar (international neutral country) just to make Israel to attack them? Can't wait Israel attacking other countries and said it was defending action in act against terrorism...,2025-09-15 19:52:30.636000+00:00,1,1,5,0.92
I wonder if it was indeed done with Quatar's consent.,2025-09-15 19:52:30.636000+00:00,0,0,5,0.94
its three thousand threehundred. not thirty three hundred. its two thousand one hundred. not twenty one hundred. are you american or some shit?,2025-09-15 19:52:30.636000+00:00,0,0,2,0.92
Qatar need to strengthen its defence system.Qatar must not depend on any powers to defend its territory.,2025-09-15 19:52:32.868000+00:00,3,0,5,0.94
the anti air missiles not working seems strange; it might be possible that the system has some remote kill switch since the system is western.,2025-09-15 19:52:32.868000+00:00,0,0,4,0.88
One of the best channels on YouTube! Wish news outlets would follow this format. Keep it up!,2025-09-15 19:52:32.868000+00:00,0,0,1,0.98
Israel is playing Batman. Qatar and the US seem to be in cooperation with them. They might be using Israel (as always) to do the dirty work for them.,2025-09-15 19:52:32.868000+00:00,0,0,4,0.83
qatar is no messenger,2025-09-15 19:52:32.868000+00:00,0,0,5,0.68
"Frankly, Qatar made themselves part of this war by financing Hamas and giving shelter and sanctuary to its leaders to wage their forever war. 

Not to mention Qatar has been financing every islamist group in the world for decades now. Its a state sponsor of international terrorism with every nations blood on its hands. 

I shed no tears for them.",2025-09-15 19:52:32.868000+00:00,0,0,4,0.89
Hamas are satanic and need to be eradicated where ever they hide.,2025-09-15 19:52:32.868000+00:00,0,0,3,0.88
dealing with religous fruitcakes (zions and evangelicals) is the reason we are in this turmoil.,2025-09-15 19:52:32.868000+00:00,1,0,2,0.9
"That's a very clever way for the UK to say ""we knew this was coming but couldn't explicitly say it""",2025-09-15 19:52:32.868000+00:00,0,0,3,0.66
"Why didn't Qatar convene an urgent international conference when it was attacked by Iran just two months ago, right there in Doha? Why is it so outraged by a violation of its sovereignty on foreign soil, yet never condemned so harshly when the organization it funded violated Israel's sovereignty on October 7? And above all, how long with this regional hypocrisy continue, in which one is allowed to host mass murderers on their soil and then lose their mind when someone tries to assassinate them?
-Amit Segal",2025-09-15 19:52:32.868000+00:00,0,0,5,0.9
Please make a video about Nepal Protests.,2025-09-15 19:52:32.868000+00:00,0,0,1,0.99
Being a friend or Ally of Americans are biggest sin 🤡 🤡🤡,2025-09-15 19:52:32.868000+00:00,3,0,4,0.78
the thing about the us security guarantees is they where always conditional on it being in americas interests to do so that's what happens when you outsource your security you can only hope they hold up there end,2025-09-15 19:52:32.868000+00:00,0,1,5,0.93
This is why I subscribe to this channel. Outstanding work in the short time needed to make it.,2025-09-15 19:52:32.868000+00:00,0,0,2,0.95
"Will say it again, the biggest threat to world Peace is ISRAEL!!! Fear nothing else more than this evil regime as it holds the US with a iron grip!!!",2025-09-15 19:52:32.868000+00:00,4,0,3,0.8
Perhaps Israel 🇮🇱is trying shake 🫨 up the negotiations.  So far ( to oversimplify ) 🔪 Hamas 💥 response to the war has been to demand Israel 🇮🇱 retreat or surrender 😮 while they let the Gazans suffer😢,2025-09-15 19:52:32.868000+00:00,0,0,3,0.8
"Qatar is a mediator by day and terror sponsor by night. With their enormous oil and gas wealth, the Qataris have subverted western liberals and universities, while funding Hamas and other terror outfits to wreck havoc everywhere.",2025-09-15 19:52:32.868000+00:00,0,0,4,0.88
"Caspian, you have the tendancy to speak out of where the sun don't shine sometimes. Israel and the US proposed that Qatar be a neutral grown. They did not feel frustrated by Qatar's role, it's the other way around.",2025-09-15 19:52:32.868000+00:00,1,2,5,0.86
8:50 The rabid Zionist Apartheid state & it's bootlicker backer Uncle Sam are frustrated with Qatar & Hamas when Satanyahu has virtually sabotaged every mediation effort & Don Zion used every reconciliation opportunity as a deception for IOF to strike Iran & Hamas? What a weird world we are living in where words have truly lost their actual meanings.,2025-09-15 19:52:32.868000+00:00,0,1,5,0.9
"Hamas in its charter has called for the elimination of all Jews in Israel and around the world. In addition too, it calls for the elimination of the state of Israel. 
I fail to see what's so unclear about Hamas. Israel gets it, the rest of the world doesn't!

Fact; on Oct 7th 2023 Hamas unalived Israelis and dragged the bodies back into Gaza to use as hostages. You can't  make peace with that sick mentality!",2025-09-15 19:52:35.073000+00:00,0,0,2,0.85
Israel and America are Terrorist states,2025-09-15 19:52:35.073000+00:00,0,0,3,0.88
Wake up call to Arabs Unite or perish one by one.,2025-09-15 19:52:35.073000+00:00,0,1,3,0.77
"we are done, its time to end this war like everyone asks to, its time to wipe whoever is in the list now",2025-09-15 19:52:35.073000+00:00,1,0,3,0.6
I thought money could solve everything,2025-09-15 19:52:35.073000+00:00,0,0,3,0.53
That's why you must have your own military. No money will save you if you are protected by foreign military bases.,2025-09-15 19:52:35.073000+00:00,0,0,4,0.82
What an ending line. “…It is so poor all it has is money”,2025-09-15 19:52:35.073000+00:00,0,0,2,0.64
"What are the Turkish troops doing in Qatar? Are they a permanent presence like the US and UK?

I ask for interest. No judgement. I have been to Doha many times.",2025-09-15 19:52:35.073000+00:00,0,2,4,0.9
Good sponsor!,2025-09-15 19:52:35.073000+00:00,0,0,1,0.99
Just a tiny note: the location of Petah Tikva in the map at 00:40 makes no sense,2025-09-15 19:52:35.073000+00:00,0,0,2,0.92
The problem is that Qatar is all in already with american bases in thier country and from all sides and with 70 percent of their weaponry is american made....,2025-09-15 19:52:35.073000+00:00,1,0,4,0.86
"We stated from the beginning, the filth wont find safe heaven anywhere.",2025-09-15 19:52:35.073000+00:00,0,0,4,0.86
"”Our greatest ally Israel”
LOL",2025-09-15 19:52:35.073000+00:00,1,0,4,0.86
"It’s just a game of hypocrisy. Everyone knew it, even as they played the “I’m surprised and outraged” act. Hamas is hated by everyone. They are a burden, but they serve to maintain a façade of Arab support for the Palestinians, even though no Arab country wants them inside its borders.

Qatar has its hands tainted with blood, and the USA knows it. This is not an alliance of trust but one of mere circumstance. American troops are not stationed there to launch an impossible war against Iran. Such a war would be impossible because of the oil fallout and the damage it would inflict on every Gulf state.

Nor are those troops there to confront Israel, the one country that keeps these tyrants awake at night. They are there only as a last resort in case of unexpected crises. And Israel killing terrorists is not one of those crises.",2025-09-15 19:52:35.073000+00:00,1,0,5,0.9
bro if you fund one side how are you the messnger,2025-09-15 19:52:35.073000+00:00,0,0,4,0.7
Qatar is the nucleus of Global Islamic extremism.,2025-09-15 19:52:35.073000+00:00,0,0,3,0.86
U meen the Terrorists nest ? What is Hamas hezboallah and co Doing in qatar ?,2025-09-15 19:52:35.073000+00:00,0,0,4,0.9
I wonder what happens to Hamas base in Turkey (NATO) now.,2025-09-15 19:52:35.073000+00:00,0,0,4,0.78
Qatar is part of the problem.,2025-09-15 19:52:35.073000+00:00,1,0,4,0.78
This makes no sense. Why don't they arrest these criminals from Hamas and hand them over. They were kept there in the first place on the behest of US.,2025-09-15 19:52:37.160000+00:00,0,0,5,0.9
Qatar is the Petyr Baelish of the middle east,2025-09-15 19:52:37.160000+00:00,0,0,3,0.65
Your explanation seems the most plausible. Thank you for this excellent presentation. Respect.,2025-09-15 19:52:37.160000+00:00,0,0,3,0.9
I wonder if Qatar will now align itself more with Saudi-UAE now,2025-09-15 19:52:37.160000+00:00,0,0,5,0.94
Who holds the reins? US or Israel? It's getting really muddy for an outsider.,2025-09-15 19:52:37.160000+00:00,0,1,5,0.9
Why couldn't have the Saudis helped?,2025-09-15 19:52:37.160000+00:00,0,0,4,0.8
Neither side wants peace,2025-09-15 19:52:37.160000+00:00,0,0,3,0.76
Qatar funds Islamist groups in Europe. No friend of the West.,2025-09-15 19:52:37.160000+00:00,1,0,3,0.78
"Qatar is not the masanger, qatar is the sponsor",2025-09-15 19:52:37.160000+00:00,0,0,5,0.94
5:53 this also explains the mysterious missile intercepted by Saudi Arabia at the time of the strike on its west border,2025-09-15 19:52:37.160000+00:00,0,0,4,0.88
Israel doing Genocide and attacking natural countries.. its SCARY they can do this with out anyone doing anything to them.. not even Russia has that kind of power,2025-09-15 19:52:37.160000+00:00,0,0,3,0.74
"Hey Caspian, could you please do a video about US and Venezuela?",2025-09-15 19:52:37.160000+00:00,1,0,1,0.98
"The Israeli Air Force operates over a dozen aerial refueling tankers, no need for help from other nations in that regard - particularly not from a tanker that's right on top of the target area.  If a northern route was used, Israel more than likely flew through Syria and Iraq, not Jordan and Saudi Arabia.",2025-09-15 19:52:37.160000+00:00,1,0,4,0.86
Everyone uses ground news but who controles them?,2025-09-15 19:52:37.160000+00:00,0,0,1,0.64
"Let's be honest here, folks. Hamas never negotiates in good faith. Israel knows this already, thus, the strike.",2025-09-15 19:52:37.160000+00:00,0,0,4,0.9
Poor terrorists. Now cannot feel safe anywhere.,2025-09-15 19:52:37.160000+00:00,0,0,5,0.94
"Isaak didn’t hit Qatar it hit Hamas leadership, Qatar has American made air defenses, why didn’t they stop the missiles? Bz they knew in advance. Also stop ignoring the fact that Qatar funds both sides to paying off right wing pundits like Tucker to aiding Hamas or the Muslim brotherhood.",2025-09-15 19:52:37.160000+00:00,1,0,5,0.9
"A reminder to never trust the usa especially their weapons 
The air defense systems didn't not work against Israel but it worked against Iran meaning Israel controls the usa military and it's weapons",2025-09-15 19:52:37.160000+00:00,0,0,4,0.76
US gangsters than a mf that’s a hit,2025-09-15 19:52:39.485000+00:00,0,0,3,0.62
"Iv always tried to understand world politics, it just never truly made sense, but I feel like one thing truly does make sense, the purpose of Israel, a Muslim empire/caliphate in the Middle East, would be the greatest power the world has ever seen, connecting 3 continents, covering 2 of the most important canals, and all united by one thing, Islam. That would be the end of western dominance, the end of the banking industry, which depends on interest which entraps people to a life full of debt, any Muslim leader that gains popularity and doesn’t rely or fear the west is imprisoned or killed. I might be wrong but I honestly feel like what other purpose could Israel have",2025-09-15 19:52:39.485000+00:00,0,0,2,0.78
"Qatar and Iran directly fund literally thousands of crude rocket attacks on Israeli cities every year, but somehow one single very limited strike by Israel on Qatar is an escalation that crosses the line.  Interesting.  The correct and honest framing is that Qatar and Iran need to stop attacking Israel.  :face-red-droopy-eyes:",2025-09-15 19:52:39.485000+00:00,1,2,4,0.9
wanna know who's REALLY behind the current administration's policies? https://en.wikipedia.org/wiki/The_Heritage_Foundation,2025-09-15 19:52:39.485000+00:00,0,0,2,0.6
Are we not going to talk about a nuclear nation going rogue?,2025-09-15 19:52:39.485000+00:00,0,0,4,0.74
Why can't they just do what they did during the Iran war and refuel over Syria and Iraq?  It worked once...,2025-09-15 19:52:39.485000+00:00,0,0,4,0.82
I hope we did help them. I’m all for assisting the only nation in that the region that didn’t openly celebrate 9/11. Especially if the leadership that planned the October 7 massacre is living the high life in the target nation…on billions in western humanitarian aid,2025-09-15 19:52:39.485000+00:00,0,0,5,0.93
based israelis,2025-09-15 19:52:39.485000+00:00,0,0,3,0.84
"In reality, it is more of a stabilizing factor.",2025-09-15 19:52:39.485000+00:00,0,0,3,0.41
Israel will single handedly dissolve NATO by using US forces for nefarious reasons,2025-09-15 19:52:39.485000+00:00,0,0,2,0.66
"Israel 🇮🇱 forever 💯 
Proud of you your forever friend India 🇮🇳",2025-09-15 19:52:39.485000+00:00,0,0,2,0.88
CCCOOOOMMIIINNNGG to Shirvan 😫😫😫🥒🥒🥒💦💦💦💦😫😫😫😫🥵🥵🥵🥵,2025-09-15 19:52:39.485000+00:00,0,0,1,0.98
"Qataris should've condemned it as a violation of their ahsreloe, by ahsreloes supported by ahsreloes!",2025-09-15 19:52:39.485000+00:00,0,0,4,0.64
Its stupid how these past administrations have pushed the US deeper into the mud. Now security guarantees don't mean shit because in the end Uncle Sam can decide if is strategically dependable to actually warn and defend your country.,2025-09-15 19:52:39.485000+00:00,0,0,5,0.9
Great video. Thanks for sharing!,2025-09-15 19:52:39.485000+00:00,0,0,2,0.96
Nice reporting! Keep it up.,2025-09-15 19:52:39.485000+00:00,0,0,2,0.97
"Hamas wants ceasefire
They have hostages as leverage

Israel wants to attack2
US ""wants"" ceasefire but just follows whatever Israel wants

Qatar wants to be a mediator in this messy conflicts",2025-09-15 19:52:39.485000+00:00,0,0,3,0.8
israel needs regime change and deprogramming,2025-09-15 19:52:39.485000+00:00,0,0,3,0.73
"You aren't attacking Israel while in a war with Israel, you are fighting millions of powerful small hats who hold the shackles of Western Politicians next presidential win.",2025-09-15 19:52:39.485000+00:00,0,0,2,0.78
Probably inspired by Iran’s attack on Qatar’s US bases a few months previously,2025-09-15 19:52:39.485000+00:00,0,0,4,0.82
"fafo habibis! ❤ correct, there should be no safe haven for jihadist maniacs who live to provoke war after war, & Qatar made itself a belligerent by giving these scum political and physical cover for years. Qatar is just lucky Israel was careful to minimize collateral damage, something Israel’s enemies would never trouble to do. And yeah, the silence of those air defense systems can only mean the US and Qatari governments were both perfectly aware. Meanwhile if anyone thinks this is so unusual, remember what it took to bring down Escobar in the 90s.",2025-09-15 19:52:41.975000+00:00,0,0,5,0.93
Caspian report are you really Turkic or an Israeli mouthpiece... You cannot be both.,2025-09-15 19:52:41.975000+00:00,0,0,2,0.9
This strike couldn't have happened without the consent of both Qatar and the USA.,2025-09-15 19:52:41.975000+00:00,0,0,5,0.9
"The collapse of the Middle East ceasefire leads to a decline in U.S. credibility, which in turn benefits Russia and China",2025-09-15 19:52:41.975000+00:00,0,0,4,0.82
TBH it is a national embarrassment for Qatar 11:09,2025-09-15 19:52:41.975000+00:00,0,0,4,0.9
What a dumb move,2025-09-15 19:52:41.975000+00:00,0,0,3,0.55
"They are willing to do whatever they are green-lighted or even suggested to do by the US administration. The US is IN CHARGE of this conflict in a way that almost no press has even mentioned. it is astonishing considering how obvious it is. i am a patriotic AMERICAN CITIZEN. Period. it's just a fact. news much report the facts. not convenience. the dynamics here are all about AMERICAN HEGEMONY on a GLOBAL SCALE, and it is not even in the best  interests of the US imo, let alone the sheer destruction and disregard for human life outside of the nation 8:05

this is COLD geopolitical analysis, not a POLITICAL or IDEOLOGICAL point either. I am looking at the moves of the nations as INDIVIDUALS or LEADERSHIP first, period. to go the moral route is to blind yourself to the even MORE INSIDIOUS nature of the conflict, which stretches beyond just the devastation withing an area the size of the city of DETROIT",2025-09-15 19:52:41.975000+00:00,0,0,5,0.9
your animation did not show the US tankers that refueled the Israeli jets after they launched the strikes.,2025-09-15 19:52:41.975000+00:00,0,0,4,0.84
Why didn’t our pals the Saudis let us know?,2025-09-15 19:52:41.975000+00:00,0,0,4,0.78
"what this truly is, would be the United States violating the sovereignty of Qatar by ALLOWING Israel to pursue this. Make no mistake. Netanyahu is a few TRUMP TWEETS away from being DEPOSED by his own people. this does not begin with Trump II, no, the Biden admin in 2023 and 24 essentially green-lighted this hyper-aggressive campaign. In fact, Biden was more apologetic and conciliatory to the Israeli's than even Trump has so far. But with Trump, that has to do with ego, in part. The fact that the US is basically have vassal states run a random obstacle course is crazy and as an american i don't even now how to feel about it. it is downright bizarre, yet perfectly understandable at once, and not in a support or resist sense, but in a scientific way",2025-09-15 19:52:41.975000+00:00,0,0,5,0.9
"“When Israel perceives a threat to its security…” this says all you need to know about the channel, it’s a western mouthpiece, Israel didn’t strike because it feels threatened, it attacked to derail any peace talks so they could continue their ethnic cleansing of the Palestinians. This channel is basically BBC with a lower budget.",2025-09-15 19:52:41.975000+00:00,0,0,4,0.82
"Yeah, you have F 15 EAGLES and you mount NO DEFENSE in the Red Sea scenario, I DO NOT BELIEVE THAT is plausible without Qatar knowing beforehand, itself, and it may have even if the jets used Saudi airspace. this is getting out of hand. the amount of sovereign encroachment and disregard is unlike anything i can recall short of the early cold war soviet period 6:45",2025-09-15 19:52:41.975000+00:00,0,0,5,0.94
"in this scenario, the attack would have been detected LONG BEFOREHAND in comparison. this scenario is implausible imo. not to mention, the missiles themselves, would still be using SAUDI AIRSPACE... 6:10
the saudis need to step it up if they want to be taken SERIOUSLY ON A GLOBAL SCALE BEYOND JUST PETROLEUM",2025-09-15 19:52:41.975000+00:00,0,0,5,0.91
no way ahah 5:48,2025-09-15 19:52:41.975000+00:00,0,0,1,0.4
"This just shows ALL THESE NATIONS are basically US VASSAL STATES. let's be real. from israel to the saudis and THE BRITS, their former overlords.. my god",2025-09-15 19:52:41.975000+00:00,0,0,3,0.68
I have no tears for terrorists.,2025-09-15 19:52:41.975000+00:00,0,0,3,0.82
"if they FIRED FROM SAUDI TERRITORY OMFG. MBS, STEP YOUR GAME UP. You will never be the dominant guy you want to be in the region or globally. You cannot allow some other nation to use your airspace to attack another gulf state, an emirate ffs!

See, this is why i say they fired from Saudi AIRSPACE... not international waters or even QATARI airspace... 4:45",2025-09-15 19:52:41.975000+00:00,0,0,4,0.88
"I get they don't care about the actual people of Gaza and Palestine, and that has long been true, but for leaders such as MBS to barely say a thing or DO SOMETHING... considering SAUDI ARABIA does have capabilities... makes MBS look like a complete hypocrite, if this is truly the case. I am only going on available information. 

Saudi airspace!? You want to be the DOMINANT FORCE IN THE REGION, yet have ANOTHER NATION fly over your airspace in an action that breaches YOUR SAID RED LINES .... and you don't even comment .... MBS wants the nation to be a GLOBAL HUB for economics and tourism. In order to do that you must have SAFETY and SOVEREIGNTY and ISRAELI JETS over your airspace says YOU HAVE NEITHER 4:08",2025-09-15 19:52:41.975000+00:00,0,0,4,0.88
"over Saudi airspace? okay, well MBS has some EXPLAINING TO DO... or he is full of it smh. i mean talk about hypocrisy if accurate. you want to be the center of the gulf world BEYOND just the GULF, and are investing huge sums of capital to do so.... yet you are not protecting YOUR OWN SOVEREIGN AIRSPACE after declaring it off-limits for use from any strike by the IDF against Hamas or Iran iirc. MBS better set it straight. SAUDI ARABIA wants to display an IMAGE OF SAFETY. Israeli fighter jets over saudi airspace does anything but achieve that 3:34",2025-09-15 19:52:41.975000+00:00,0,0,4,0.84
The terrorist kill innocent people Israel does not,2025-09-15 19:52:41.975000+00:00,0,0,3,0.83
Nope,2025-09-15 19:52:44.016000+00:00,0,0,2,0.34
"Oh, I'm sure on some level all parties knew of this attack. we defiantly getting a different story from what actual happened. All these so-called peace talks never activly amount to anything besides a break to restock ammo. Humas leadership being using this tactic of hiding in other countries while their people struggle. For them to talk in good faith for a real solution isn't ever going to happen. Middel east countries need to public condemn Israel. They do realize that humas is more of a problem then there worth and their efforts just lead to lost blood and treasure that keeps the middle east in chaos.",2025-09-15 19:52:44.016000+00:00,0,0,4,0.83
"Qatar is quite literally harbouring the Hamas leadership. What messenger, they are just agents of Hamas, nothing neutral or mediating about them. And big deal, this was what we said about them volleying rockets at Iran.",2025-09-15 19:52:44.016000+00:00,2,0,5,0.8
Oh poor Qatar why does everyone like Qatar is modern slavery just something we overlook or harboring terrorists sorry “negotiators” come on now shows how corrupt the world is Israel should’ve captured Cairo in 73 and kicked all the Arabs out in 48 but no negotiations are everything let’s sell our soul to the enemy,2025-09-15 19:52:44.016000+00:00,0,0,4,0.86
And what good is a friend that has but is forced not to give you any when inflation drawns your currency….😂😂😂,2025-09-15 19:52:44.016000+00:00,0,0,1,0.38
"Well you know, one of your favourite ones is next… they stated it outright…",2025-09-15 19:52:44.016000+00:00,0,0,1,0.28
USA CENTRAL COMMAND IS NOT WASHINGTON DC....USA CENTRAL COMMAND IS ISRAEL,2025-09-15 19:52:44.016000+00:00,0,0,3,0.72
I think Qatar's AA likely throttled by US in some way. Wonder if they now pivot away from West and go East?...,2025-09-15 19:52:44.016000+00:00,0,0,5,0.9
"All of Saudiya's enemies are being taken out.
Iran
Houthi
Qatar",2025-09-15 19:52:44.016000+00:00,0,0,2,0.72
The Mid East is already broken,2025-09-15 19:52:44.016000+00:00,0,0,3,0.78
:face-blue-smiling::face-blue-smiling:,2025-09-15 19:52:44.016000+00:00,0,0,1,0.95
ISEWEL must 4TT4CK in QATAR Summit Because They Want to Create ISLAMIC World United M1L1TARY.. 😛😛😁😁🤣🤣💪🏼💪🏼💥💥,2025-09-15 19:52:44.016000+00:00,0,0,3,0.8
🧸,2025-09-15 19:52:44.016000+00:00,0,0,1,0.97
"What Israel can go through? US, and Jordan or even Saudi Arabia may has provide the go ahead without Qatar knowing it.",2025-09-15 19:52:44.016000+00:00,0,0,5,0.86
They were let in.,2025-09-15 19:52:44.016000+00:00,0,0,3,0.52
"The leadership of Qatar should start building a league to invade Israel, because what the fuck. They'd lose, but still tho.",2025-09-15 19:52:44.016000+00:00,0,0,3,0.9
this is attack really isnt a big deal. Qatar knew about the attack and israel just bombed a building where hamas delegates were Located. now qatar will remove all association with hamas and no more attacks will happen. Qatar will probably never mediate anything ever again. qatar has no choice its a small sell out rich nation.weak spineless arabs elites who reside over a immigrant slave class. all the gulf arabs are basically sell outs except for maybe oman,2025-09-15 19:52:44.016000+00:00,0,0,4,0.88
"Hamas = genocidal  bloodthirsty terrorist who follow no rules other than a sworn nightmare to kill all Jews living in Israel.   Their death makes the world safer by sending a message to any would be medieval,  intolerant dictatorial religious fanatics the world over that hostage taking does not pay.  Their survival puts the free liberal world at risk.  Lets not forget who the bad guys are here.",2025-09-15 19:52:44.016000+00:00,0,1,3,0.88
"it was not ""Strike on Qatar"", it was retaliation strike on hamas terrorists after they committed terrorist act in Jerusalem and murdered 6, wounded about 20 civilians",2025-09-15 19:52:44.016000+00:00,0,0,5,0.9
this is what happens when serial killers become Israeli PMs,2025-09-15 19:52:46.414000+00:00,0,0,3,0.78
"Let this be a lesson to not buy US defense products and not trust US security guarantees or treaties. Qatar's air defense systems were bought from the US for millions/billions. These US systems are embedded with cyber backdoor that allows the US to render them into useless billion dollars paperweight, thus allowing Israel to enter Qatari airspace and bomb without triggering immediate air defense responses. Those foreign export F-35s also have the same critical flaw that allows the US absolute control over them, which is why many European nation customers have paused, reduce, or outright cancelled F-35 purchases. Qatar was a major non-NATO US ally with past major purchases of US military equipment worth billions and hosted US bases, and yet the US allowed an outside threat to attack Qatar with impunity -  without warning or notice, and without any major response to defend its ""ally"" and counterattack the attacking aggressor nation of Israel. The US also refuse to scramble fighters, troops, or air defense forces and equipment when Russian drones invaded Polish airspace, leaving Poland and Europe alone to scramble to intercept Russian drones before they could strike critical Polish targets. The world must learn that any deal, agreement, guarantee, or treaty made with the US is worthless and no different than any Russian guarantees of peace agreement to end the war in Ukraine.",2025-09-15 19:52:46.414000+00:00,0,0,4,0.82
Doha shall buy Russian 🇷🇺,2025-09-15 19:52:46.414000+00:00,0,0,4,0.67
ya i agree mostly likely doha knew about the attack hence why no air defense went off another instance of arab leaders selling out hamas.,2025-09-15 19:52:46.414000+00:00,0,0,5,0.9
The remaining Ha.M.As leaders should go to The Graveyard of Empires and  asked them for amn (protection).,2025-09-15 19:52:46.414000+00:00,0,0,4,0.79
Con man doing con stuff. It is very normal if you take in Con-man fact into account. What a crappy world we came to live in.,2025-09-15 19:52:46.414000+00:00,0,0,1,0.46
"cruse misiles dont ""fly low earth orbit"", they fly low but not orbit, theye are not balistic!",2025-09-15 19:52:46.414000+00:00,0,0,2,0.62
ohh this aint good. i'd like to see gen z come up with a meme on this topic.,2025-09-15 19:52:46.414000+00:00,0,0,2,0.8
This might actually end the Gaza conflict because Hamas’ leadership will have nowhere to go and will agree to step down from power in exchange for their lives,2025-09-15 19:52:46.414000+00:00,0,0,5,0.93
"It is hard to believe either Saudi or Turkey would be able to stop Israeli attack on Hamas in Doha. Also, Doha might be fine with it give that it takes pressure to reach a deal off them",2025-09-15 19:52:46.414000+00:00,0,0,4,0.82
Qatar is a fake country. More of a gas station for the UK and US .,2025-09-15 19:52:46.414000+00:00,0,1,2,0.72
charlie kirk,2025-09-15 19:52:46.414000+00:00,0,0,1,0.9
0:15 they hide explosives in pagers. They act like cqunntz. Yeah. They basically can't be negotiate with. Also they assinate Charlie Kirk.,2025-09-15 19:52:46.414000+00:00,0,0,2,0.72
"Israel must be crushed now! Preferably by my nation, the USA. I love the many good Jewish people, who have taken a public stand against war criminals Netanyahu & convicted felon Trump. But! Both evil leaders need to be arrested and both governments need to be restructured to free the world of the toxic filth of the CIA, Wall Street, American oligarchs, Israeli oligarchs, Musad, and ALL other Epstein tied scumbags!!!",2025-09-15 19:52:46.414000+00:00,1,0,2,0.86
can it strike deep inside turkey?,2025-09-15 19:52:46.414000+00:00,0,0,3,0.6
"12:35 I do not approve of what you do as that could mean accepting some level of liability for the messages that you convey. I have watched many VLOGS apparently produced by you. I have taken most of the information you convey for granted. A few times that I have done first page GIS integrity checking your message appeared to convey the consensus. 

I will express my appreciation for your information. Please allow me to define my field of appreciation. I appreciate your continuous output of information that goes in a depth below the surface of the common carriers of News in the mainstream media. I do not however know your information to be authoritative or supreme on any subject that you cover. Your presentations are more often than not convincing. So there is that. 

Thank you with some reserve",2025-09-15 19:52:46.414000+00:00,0,0,1,0.94
Bravo Israel! Cleanse the earth of the terrorists! 🇮🇱💪,2025-09-15 19:52:46.414000+00:00,2,0,4,0.9
damn,2025-09-15 19:52:46.414000+00:00,0,0,2,0.35
israel murdered Charlie Kirk.,2025-09-15 19:52:46.414000+00:00,3,1,1,0.96
BRICS becomes more attractive every day for many states.,2025-09-15 19:52:48.449000+00:00,3,1,3,0.64
Lost all credit for you guys after this one. If you think Israeli jets were allowed through Jordan and Saudi to bomb Qatar you don't know shit. And then you mention refuelling but only on the return leg..despite you doing a previous video on how Syrian and Lebanese airspace is now basically open.,2025-09-15 19:52:48.449000+00:00,0,0,5,0.95
Even the Qataris don't want the palestinians. Interesting how no nation wants them. History has spoken.,2025-09-15 19:52:48.449000+00:00,1,0,3,0.72
Manama is in the north ffs,2025-09-15 19:52:48.449000+00:00,0,0,1,0.6
Israeal is peece,2025-09-15 19:52:48.449000+00:00,0,0,2,0.39
